order_id,target,total_items,exported,output_file
00100448,euro-pallet,58,no,
00100449,euro-pallet,31,no,
00100450,rollcontainer,17,no,
00100451,rollcontainer,21,no,
00100452,euro-pallet,45,no,
00100453,euro-pallet,35,no,
00100454,euro-pallet,60,no,
00100455,euro-pallet,56,no,
00100456,euro-pallet,27,no,
00100457,rollcontainer,43,no,
00100458,rollcontainer,42,no,
00100459,rollcontainer,43,no,
00100460,euro-pallet,51,no,
00100461,euro-pallet,57,no,
00100462,rollcontainer,43,no,
00100463,euro-pallet,48,no,
00100464,euro-pallet,53,no,
00100465,euro-pallet,48,no,
00100466,rollcontainer,19,no,
00100467,rollcontainer,42,no,
00100468,rollcontainer,36,no,
00100469,rollcontainer,44,no,
00100470,rollcontainer,42,no,
00100471,rollcontainer,38,no,
00100472,rollcontainer,39,no,
00100473,rollcontainer,46,no,
00100474,euro-pallet,39,no,
00100475,euro-pallet,51,no,
00100476,rollcontainer,48,no,
00100477,rollcontainer,41,no,
00100478,euro-pallet,38,no,
00100479,euro-pallet,43,no,
00100480,rollcontainer,47,no,
00100481,euro-pallet,64,no,
00100482,rollcontainer,36,no,
00100483,rollcontainer,47,no,
00100484,euro-pallet,31,no,
00100485,euro-pallet,58,no,
00100486,euro-pallet,55,no,
00100487,euro-pallet,41,no,
00100488,euro-pallet,35,no,
00100489,rollcontainer,50,no,
00100490,euro-pallet,52,no,
00100491,euro-pallet,64,no,
00100492,euro-pallet,53,no,
00100493,rollcontainer,42,no,
00100494,rollcontainer,36,no,
00100495,euro-pallet,62,no,
00100496,euro-pallet,47,no,
00100497,rollcontainer,28,no,
00100498,euro-pallet,59,no,
00100499,rollcontainer,46,no,
00100500,euro-pallet,45,no,
00100501,rollcontainer,45,no,
00100502,euro-pallet,59,no,
00100503,rollcontainer,49,no,
00100504,rollcontainer,44,no,
00100505,rollcontainer,48,no,
00100506,euro-pallet,37,no,
00100507,rollcontainer,36,no,
00100508,rollcontainer,33,no,
00100509,rollcontainer,36,no,
00100510,euro-pallet,66,no,
00100511,rollcontainer,69,no,
00100512,euro-pallet,53,no,
00100513,rollcontainer,43,no,
00100514,euro-pallet,27,no,
00100515,euro-pallet,49,no,
00100516,euro-pallet,37,no,
00100517,rollcontainer,23,no,
00100518,rollcontainer,38,no,
00100519,rollcontainer,41,no,
00100520,euro-pallet,39,no,
00100521,rollcontainer,33,no,
00100522,rollcontainer,41,no,
00100523,euro-pallet,51,no,
00100524,rollcontainer,33,no,
00100525,euro-pallet,33,no,
00100526,rollcontainer,47,no,
00100527,rollcontainer,37,no,
00100528,euro-pallet,53,no,
00100529,euro-pallet,53,no,
00100530,rollcontainer,51,no,
00100531,euro-pallet,25,no,
00100532,rollcontainer,51,no,
00100533,rollcontainer,47,no,
00100534,rollcontainer,43,no,
00100535,rollcontainer,35,no,
00100536,euro-pallet,60,no,
00100537,euro-pallet,29,no,
00100538,euro-pallet,57,no,
00100539,rollcontainer,37,no,
00100540,rollcontainer,42,no,
00100541,rollcontainer,37,no,
00100542,euro-pallet,47,no,
00100543,rollcontainer,29,no,
00100544,rollcontainer,47,no,
00100545,rollcontainer,40,no,
00100546,euro-pallet,56,no,
00100547,rollcontainer,48,no,
00100548,rollcontainer,37,no,
00100549,euro-pallet,23,no,
00100550,rollcontainer,43,no,
00100551,rollcontainer,23,no,
00100552,euro-pallet,73,no,
00100553,rollcontainer,24,no,
00100554,rollcontainer,37,no,
00100555,rollcontainer,18,no,
00100556,euro-pallet,31,no,
00100557,euro-pallet,42,no,
00100558,euro-pallet,55,no,
00100559,rollcontainer,34,no,
00100560,euro-pallet,35,no,
00100561,rollcontainer,41,no,
00100562,rollcontainer,44,no,
00100563,rollcontainer,40,no,
00100564,euro-pallet,51,no,
00100565,rollcontainer,38,no,
00100566,rollcontainer,49,no,
00100567,euro-pallet,54,no,
00100568,euro-pallet,52,no,
00100569,euro-pallet,62,no,
00100570,rollcontainer,43,no,
00100571,euro-pallet,52,no,
00100572,euro-pallet,32,no,
00100573,euro-pallet,46,no,
00100574,rollcontainer,43,no,
00100575,rollcontainer,48,no,
00100576,euro-pallet,32,no,
00100577,euro-pallet,58,no,
00100578,euro-pallet,38,no,
00100579,rollcontainer,17,no,
00100580,rollcontainer,41,no,
00100581,rollcontainer,44,no,
00100582,euro-pallet,45,no,
00100583,rollcontainer,46,no,
00100584,euro-pallet,55,no,
00100585,rollcontainer,38,no,
00100586,rollcontainer,35,no,
00100587,euro-pallet,45,no,
00100588,rollcontainer,39,no,
00100589,euro-pallet,56,no,
00100590,rollcontainer,37,no,
00100591,euro-pallet,44,no,
00100592,rollcontainer,50,no,
00100593,euro-pallet,61,no,
00100594,rollcontainer,33,no,
00100595,rollcontainer,23,no,
00100596,euro-pallet,27,no,
00100597,rollcontainer,56,no,
00100598,euro-pallet,59,no,
00100599,euro-pallet,59,no,
00100600,euro-pallet,37,no,
00100601,rollcontainer,46,no,
00100602,euro-pallet,56,no,
00100603,euro-pallet,34,no,
00100604,euro-pallet,30,no,
00100605,rollcontainer,32,no,
00100606,euro-pallet,98,no,
00100607,rollcontainer,52,no,
00100608,rollcontainer,37,no,
00100609,euro-pallet,33,no,
00100610,rollcontainer,32,no,
00100611,euro-pallet,40,no,
00100612,rollcontainer,15,no,
00100613,rollcontainer,44,no,
00100614,rollcontainer,37,no,
00100615,euro-pallet,43,no,
00100616,rollcontainer,42,no,
00100617,euro-pallet,62,no,
00100618,euro-pallet,40,no,
00100619,euro-pallet,55,no,
00100620,euro-pallet,68,no,
00100621,rollcontainer,42,no,
00100622,euro-pallet,68,no,
00100623,rollcontainer,46,yes,bedbpp_order_00100623_rollcontainer.txt
00100624,rollcontainer,18,no,
00100625,rollcontainer,80,no,
00100626,rollcontainer,48,no,
00100627,euro-pallet,107,no,
00100628,euro-pallet,53,no,
00100629,rollcontainer,29,no,
00100630,rollcontainer,46,no,
00100631,euro-pallet,100,no,
00100632,rollcontainer,35,no,
00100633,rollcontainer,32,no,
00100634,rollcontainer,47,no,
00100635,rollcontainer,17,no,
00100636,euro-pallet,59,no,
00100637,rollcontainer,41,no,
00100638,rollcontainer,43,no,
00100639,rollcontainer,26,no,
00100640,rollcontainer,45,no,
00100641,rollcontainer,39,no,
00100642,rollcontainer,45,no,
00100643,euro-pallet,44,no,
00100644,euro-pallet,31,no,
00100645,euro-pallet,57,no,
00100646,rollcontainer,41,no,
00100647,euro-pallet,55,no,
00100648,rollcontainer,43,no,
00100649,rollcontainer,42,no,
00100650,euro-pallet,35,no,
00100651,rollcontainer,48,no,
00100652,rollcontainer,48,no,
00100653,rollcontainer,36,no,
00100654,rollcontainer,23,no,
00100655,euro-pallet,61,no,
00100656,euro-pallet,50,no,
00100657,euro-pallet,55,no,
00100658,rollcontainer,28,no,
00100659,rollcontainer,39,no,
00100660,euro-pallet,41,no,
00100661,rollcontainer,23,no,
00100662,rollcontainer,26,no,
00100663,rollcontainer,36,no,
00100664,euro-pallet,47,no,
00100665,rollcontainer,39,no,
00100666,rollcontainer,24,no,
00100667,rollcontainer,34,no,
00100668,euro-pallet,51,no,
00100669,rollcontainer,43,no,
00100670,euro-pallet,63,no,
00100671,rollcontainer,25,no,
00100672,euro-pallet,28,no,
00100673,rollcontainer,36,no,
00100674,euro-pallet,99,no,
00100675,rollcontainer,45,no,
00100676,euro-pallet,47,no,
00100677,rollcontainer,20,no,
00100678,euro-pallet,57,no,
00100679,rollcontainer,44,no,
00100680,rollcontainer,43,no,
00100681,rollcontainer,42,no,
00100682,rollcontainer,37,no,
00100683,euro-pallet,64,no,
00100684,rollcontainer,44,no,
00100685,rollcontainer,38,no,
00100686,euro-pallet,33,no,
00100687,rollcontainer,37,no,
00100688,euro-pallet,39,no,
00100689,euro-pallet,25,no,
00100690,euro-pallet,51,no,
00100691,rollcontainer,46,no,
00100692,euro-pallet,42,no,
00100693,rollcontainer,18,no,
00100694,euro-pallet,55,no,
00100695,euro-pallet,62,no,
00100696,euro-pallet,62,no,
00100697,rollcontainer,38,no,
00100698,rollcontainer,45,no,
00100699,euro-pallet,62,no,
00100700,rollcontainer,39,no,
00100701,rollcontainer,22,no,
00100702,euro-pallet,47,no,
00100703,rollcontainer,42,no,
00100704,rollcontainer,27,no,
00100705,rollcontainer,39,no,
00100706,rollcontainer,46,no,
00100707,euro-pallet,67,no,
00100708,euro-pallet,40,no,
00100709,rollcontainer,20,no,
00100710,rollcontainer,39,no,
00100711,rollcontainer,17,no,
00100712,rollcontainer,35,no,
00100713,rollcontainer,26,no,
00100714,rollcontainer,32,no,
00100715,rollcontainer,33,no,
00100716,euro-pallet,50,no,
00100717,rollcontainer,46,no,
00100718,rollcontainer,42,no,
00100719,rollcontainer,33,no,
00100720,euro-pallet,58,no,
00100721,rollcontainer,39,no,
00100722,euro-pallet,60,no,
00100723,rollcontainer,38,no,
00100724,rollcontainer,36,no,
00100725,rollcontainer,34,no,
00100726,euro-pallet,45,no,
00100727,rollcontainer,47,no,
00100728,rollcontainer,16,no,
00100729,rollcontainer,21,no,
00100730,euro-pallet,54,no,
00100731,euro-pallet,60,no,
00100732,rollcontainer,24,no,
00100733,rollcontainer,45,no,
00100734,rollcontainer,38,no,
00100735,rollcontainer,40,no,
00100736,rollcontainer,49,no,
00100737,euro-pallet,41,no,
00100738,rollcontainer,35,no,
00100739,rollcontainer,39,no,
00100740,rollcontainer,35,no,
00100741,euro-pallet,49,no,
00100742,rollcontainer,37,no,
00100743,euro-pallet,58,no,
00100744,euro-pallet,56,no,
00100745,rollcontainer,40,no,
00100746,euro-pallet,56,no,
00100747,rollcontainer,37,no,
00100748,euro-pallet,54,no,
00100749,euro-pallet,94,no,
00100750,euro-pallet,43,no,
00100751,rollcontainer,40,no,
00100752,euro-pallet,37,no,
00100753,euro-pallet,95,no,
00100754,rollcontainer,32,no,
00100755,rollcontainer,45,no,
00100756,rollcontainer,32,no,
00100757,euro-pallet,53,no,
00100758,euro-pallet,56,no,
00100759,euro-pallet,50,no,
00100760,euro-pallet,64,no,
00100761,rollcontainer,32,no,
00100762,rollcontainer,15,no,
00100763,rollcontainer,18,no,
00100764,euro-pallet,54,no,
00100765,rollcontainer,48,no,
00100766,euro-pallet,55,no,
00100767,rollcontainer,17,no,
00100768,euro-pallet,55,no,
00100769,euro-pallet,46,no,
00100770,rollcontainer,41,no,
00100771,rollcontainer,43,no,
00100772,rollcontainer,41,no,
00100773,rollcontainer,42,no,
00100774,euro-pallet,40,no,
00100775,euro-pallet,59,no,
00100776,euro-pallet,60,no,
00100777,rollcontainer,34,no,
00100778,euro-pallet,56,no,
00100779,euro-pallet,28,no,
00100780,rollcontainer,18,no,
00100781,euro-pallet,55,no,
00100782,rollcontainer,19,no,
00100783,euro-pallet,33,no,
00100784,rollcontainer,23,no,
00100785,rollcontainer,42,no,
00100786,rollcontainer,20,no,
00100787,rollcontainer,33,no,
00100788,euro-pallet,43,no,
00100789,rollcontainer,39,no,
00100790,euro-pallet,49,no,
00100791,rollcontainer,44,no,
00100792,euro-pallet,61,no,
00100793,rollcontainer,43,no,
00100794,rollcontainer,31,no,
00100795,euro-pallet,48,no,
00100796,rollcontainer,45,no,
00100797,euro-pallet,59,no,
00100798,rollcontainer,44,no,
00100799,rollcontainer,40,no,
00100800,euro-pallet,55,no,
00100801,rollcontainer,43,no,
00100802,rollcontainer,34,no,
00100803,euro-pallet,58,no,
00100804,euro-pallet,59,no,
00100805,euro-pallet,41,no,
00100806,rollcontainer,45,no,
00100807,rollcontainer,41,no,
00100808,euro-pallet,34,no,
00100809,rollcontainer,31,no,
00100810,rollcontainer,51,no,
00100811,euro-pallet,54,no,
00100812,euro-pallet,61,no,
00100813,euro-pallet,43,no,
00100814,rollcontainer,34,no,
00100815,euro-pallet,50,no,
00100816,rollcontainer,60,no,
00100817,euro-pallet,46,no,
00100818,euro-pallet,53,no,
00100819,euro-pallet,54,no,
00100820,rollcontainer,33,no,
00100821,rollcontainer,31,no,
00100822,rollcontainer,49,no,
00100823,rollcontainer,32,no,
00100824,rollcontainer,32,no,
00100825,rollcontainer,43,no,
00100826,rollcontainer,37,no,
00100827,euro-pallet,59,no,
00100828,rollcontainer,33,no,
00100829,rollcontainer,34,no,
00100830,rollcontainer,18,no,
00100831,euro-pallet,53,no,
00100832,rollcontainer,19,no,
00100833,euro-pallet,48,no,
00100834,rollcontainer,35,no,
00100835,rollcontainer,38,no,
00100836,euro-pallet,32,no,
00100837,rollcontainer,49,no,
00100838,euro-pallet,33,no,
00100839,rollcontainer,17,no,
00100840,euro-pallet,39,no,
00100841,rollcontainer,33,no,
00100842,euro-pallet,46,no,
00100843,euro-pallet,55,no,
00100844,euro-pallet,41,no,
00100845,euro-pallet,43,no,
00100846,euro-pallet,61,no,
00100847,euro-pallet,55,no,
00100848,euro-pallet,51,no,
00100849,rollcontainer,48,no,
00100850,euro-pallet,57,no,
00100851,euro-pallet,54,no,
00100852,rollcontainer,42,no,
00100853,euro-pallet,63,no,
00100854,rollcontainer,32,no,
00100855,rollcontainer,44,no,
00100856,euro-pallet,49,no,
00100857,euro-pallet,50,no,
00100858,rollcontainer,44,no,
00100859,euro-pallet,57,no,
00100860,rollcontainer,49,no,
00100861,rollcontainer,45,no,
00100862,rollcontainer,39,no,
00100863,euro-pallet,54,no,
00100864,rollcontainer,18,no,
00100865,euro-pallet,38,no,
00100866,rollcontainer,23,no,
