set,instance,bin_type,source_bin_count,raw_items,exported_items,orientation_constraints,negative_weights_clamped,oversized_items_skipped,invalid_rows_skipped,output_file
A,NSA_RIR_STK_container,UT12,2,196,196,19,0,0,0,data/academic/esicup/ku_leuven_esicup_A_NSA_RIR_STK_container_UT12.txt
A,RSM_GC_PEX_container,CT40H,2,151,151,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_RSM_GC_PEX_container_CT40H.txt
A,RSM_GC_PEX_container,UT12,2,151,151,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_RSM_GC_PEX_container_UT12.txt
A,SOM_BUR_STK_container,CT40H,2,149,149,1,0,0,0,data/academic/esicup/ku_leuven_esicup_A_SOM_BUR_STK_container_CT40H.txt
A,SOM_BUR_STK_container,UT12X,2,149,149,1,0,0,0,data/academic/esicup/ku_leuven_esicup_A_SOM_BUR_STK_container_UT12X.txt
A,SOM_RIR_STK_container,CT40H,2,811,811,131,0,0,0,data/academic/esicup/ku_leuven_esicup_A_SOM_RIR_STK_container_CT40H.txt
A,SOM_RIR_STK_container,UT12,2,811,811,131,0,0,0,data/academic/esicup/ku_leuven_esicup_A_SOM_RIR_STK_container_UT12.txt
A,TNG_RIR_STK_container,CT40H,2,211,211,35,0,0,0,data/academic/esicup/ku_leuven_esicup_A_TNG_RIR_STK_container_CT40H.txt
A,TNG_RIR_STK_container,UT12,2,211,211,35,0,0,0,data/academic/esicup/ku_leuven_esicup_A_TNG_RIR_STK_container_UT12.txt
B,ACI_RIR_PEX_truck,CA270,2,162,162,5,0,0,0,data/academic/esicup/ku_leuven_esicup_B_ACI_RIR_PEX_truck_CA270.txt
B,ACI_RIR_PEX_truck,CA29R,2,162,162,5,0,0,0,data/academic/esicup/ku_leuven_esicup_B_ACI_RIR_PEX_truck_CA29R.txt
B,ALG_RIR_PEX_container,CT40H,1,1378,1378,472,0,0,0,data/academic/esicup/ku_leuven_esicup_B_ALG_RIR_PEX_container_CT40H.txt
B,AVF_RIR_PEX_container,CT40H,1,346,346,74,0,0,0,data/academic/esicup/ku_leuven_esicup_B_AVF_RIR_PEX_container_CT40H.txt
B,AVZ_RIR_PEX_container,CT40H,1,602,602,58,0,0,0,data/academic/esicup/ku_leuven_esicup_B_AVZ_RIR_PEX_container_CT40H.txt
B,CHE_GC_PEX_container,CT40H,3,315,315,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CHE_GC_PEX_container_CT40H.txt
B,CHE_GC_PEX_container,CTR40,3,315,315,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CHE_GC_PEX_container_CTR40.txt
B,CHE_GC_PEX_container,UT12,3,315,315,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CHE_GC_PEX_container_UT12.txt
B,CHE_RIR_PEX_container,CT40H,1,771,771,83,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CHE_RIR_PEX_container_CT40H.txt
B,CHE_VLD_PEX_container,CT40H,1,249,249,14,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CHE_VLD_PEX_container_CT40H.txt
B,CVP_GC_PEX_container,CT40H,1,428,428,8,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CVP_GC_PEX_container_CT40H.txt
B,CVU_GC_PEX_container,CT40H,1,863,863,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CVU_GC_PEX_container_CT40H.txt
B,CVU_VLD_PEX_container,CT40H,1,506,506,63,0,0,0,data/academic/esicup/ku_leuven_esicup_B_CVU_VLD_PEX_container_CT40H.txt
B,FSI_GC_PEX_container,CT40H,1,597,597,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_FSI_GC_PEX_container_CT40H.txt
B,FSI_VLD_PEX_container,CT40H,1,705,705,161,0,0,0,data/academic/esicup/ku_leuven_esicup_B_FSI_VLD_PEX_container_CT40H.txt
B,IKO_RIR_PEX_truck,CA270,2,359,359,8,0,0,0,data/academic/esicup/ku_leuven_esicup_B_IKO_RIR_PEX_truck_CA270.txt
B,IKO_RIR_PEX_truck,CA29R,2,359,359,8,0,0,0,data/academic/esicup/ku_leuven_esicup_B_IKO_RIR_PEX_truck_CA29R.txt
B,MED_GC_PEX_container,CT40H,1,321,321,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_MED_GC_PEX_container_CT40H.txt
B,MJV_VLD_PEX_truck,CA270,3,172,172,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_MJV_VLD_PEX_truck_CA270.txt
B,MJV_VLD_PEX_truck,CA29R,3,172,172,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_MJV_VLD_PEX_truck_CA29R.txt
B,MJV_VLD_PEX_truck,CA310,3,172,172,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_MJV_VLD_PEX_truck_CA310.txt
B,NSA_RIR_PEX_container,CT40H,1,788,788,223,0,0,0,data/academic/esicup/ku_leuven_esicup_B_NSA_RIR_PEX_container_CT40H.txt
B,RSM_GC_PEX_container,CT40H,1,248,248,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_RSM_GC_PEX_container_CT40H.txt
B,SOM_VLD_PEX_container,CT40H,1,1283,1283,131,0,0,0,data/academic/esicup/ku_leuven_esicup_B_SOM_VLD_PEX_container_CT40H.txt
B,TAK_RIR_PEX_truck,CA270,2,208,208,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_TAK_RIR_PEX_truck_CA270.txt
B,TAK_RIR_PEX_truck,CA29R,2,208,208,0,0,0,0,data/academic/esicup/ku_leuven_esicup_B_TAK_RIR_PEX_truck_CA29R.txt
X,ALG_RIR_PEX_container,CT40H,2,552,552,185,0,0,0,data/academic/esicup/ku_leuven_esicup_X_ALG_RIR_PEX_container_CT40H.txt
X,ALG_RIR_PEX_container,UT12X,2,552,552,185,0,0,0,data/academic/esicup/ku_leuven_esicup_X_ALG_RIR_PEX_container_UT12X.txt
X,ARG_BUR_PEX_container,CT40H,2,825,825,256,0,0,0,data/academic/esicup/ku_leuven_esicup_X_ARG_BUR_PEX_container_CT40H.txt
X,ARG_BUR_PEX_container,UT12X,2,825,825,256,0,0,0,data/academic/esicup/ku_leuven_esicup_X_ARG_BUR_PEX_container_UT12X.txt
X,AVF_RIR_PEX_container,CT40H,2,991,991,135,0,0,0,data/academic/esicup/ku_leuven_esicup_X_AVF_RIR_PEX_container_CT40H.txt
X,AVF_RIR_PEX_container,UT12X,2,991,991,135,0,0,0,data/academic/esicup/ku_leuven_esicup_X_AVF_RIR_PEX_container_UT12X.txt
X,AVT_BUR_PEX_container,CT40H,2,643,643,143,0,0,0,data/academic/esicup/ku_leuven_esicup_X_AVT_BUR_PEX_container_CT40H.txt
X,AVT_BUR_PEX_container,UT12X,2,643,643,143,0,0,0,data/academic/esicup/ku_leuven_esicup_X_AVT_BUR_PEX_container_UT12X.txt
X,BAX_COR_PEX_container,CT40H,2,616,616,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_BAX_COR_PEX_container_CT40H.txt
X,BAX_COR_PEX_container,UT12X,2,616,616,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_BAX_COR_PEX_container_UT12X.txt
X,CHE_RIR_PEX_container,CT40H,2,545,545,112,0,0,0,data/academic/esicup/ku_leuven_esicup_X_CHE_RIR_PEX_container_CT40H.txt
X,CHE_RIR_PEX_container,UT12X,2,545,545,112,0,0,0,data/academic/esicup/ku_leuven_esicup_X_CHE_RIR_PEX_container_UT12X.txt
X,CME_GC_EXP_container,CT40H,2,361,361,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_CME_GC_EXP_container_CT40H.txt
X,CME_GC_EXP_container,UT12X,2,361,361,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_CME_GC_EXP_container_UT12X.txt
X,CVP_GC_EXP_container,CT40H,2,700,700,34,0,0,0,data/academic/esicup/ku_leuven_esicup_X_CVP_GC_EXP_container_CT40H.txt
X,CVP_GC_EXP_container,UT12X,2,700,700,34,0,0,0,data/academic/esicup/ku_leuven_esicup_X_CVP_GC_EXP_container_UT12X.txt
X,FSI_GC_EXP_container,CT40H,2,1356,1356,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_FSI_GC_EXP_container_CT40H.txt
X,FSI_GC_EXP_container,UT12X,2,1356,1356,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_FSI_GC_EXP_container_UT12X.txt
X,MED_GC_EXP_container,CT40H,2,648,648,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_MED_GC_EXP_container_CT40H.txt
X,MED_GC_EXP_container,UT12X,2,648,648,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_MED_GC_EXP_container_UT12X.txt
X,NSA_RIR_PEX_container,CT40H,2,362,362,142,0,0,0,data/academic/esicup/ku_leuven_esicup_X_NSA_RIR_PEX_container_CT40H.txt
X,NSA_RIR_PEX_container,UT12X,2,362,362,142,0,0,0,data/academic/esicup/ku_leuven_esicup_X_NSA_RIR_PEX_container_UT12X.txt
X,RSM_GC_EXP_container,CT40H,2,176,176,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_RSM_GC_EXP_container_CT40H.txt
X,RSM_GC_EXP_container,UT12X,2,176,176,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_RSM_GC_EXP_container_UT12X.txt
X,SOM_GC_EXP_container,CT40H,2,566,566,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_SOM_GC_EXP_container_CT40H.txt
X,SOM_GC_EXP_container,UT12X,2,566,566,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_SOM_GC_EXP_container_UT12X.txt
X,SOM_RIR_PEX_container,CT40H,2,1098,1098,175,0,0,0,data/academic/esicup/ku_leuven_esicup_X_SOM_RIR_PEX_container_CT40H.txt
X,SOM_RIR_PEX_container,UT12X,2,1098,1098,175,0,0,0,data/academic/esicup/ku_leuven_esicup_X_SOM_RIR_PEX_container_UT12X.txt
X,TAN_BUR_PEX_container,CT40H,2,561,561,45,0,0,0,data/academic/esicup/ku_leuven_esicup_X_TAN_BUR_PEX_container_CT40H.txt
X,TAN_BUR_PEX_container,UT12X,2,561,561,45,0,0,0,data/academic/esicup/ku_leuven_esicup_X_TAN_BUR_PEX_container_UT12X.txt
X,TNG_RIR_PEX_container,CT40H,2,2597,2597,603,0,0,0,data/academic/esicup/ku_leuven_esicup_X_TNG_RIR_PEX_container_CT40H.txt
X,TNG_RIR_PEX_container,UT12X,2,2597,2597,603,0,0,0,data/academic/esicup/ku_leuven_esicup_X_TNG_RIR_PEX_container_UT12X.txt
X,VAX_COR_PEX_container,CT40H,2,159,159,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_VAX_COR_PEX_container_CT40H.txt
X,VAX_COR_PEX_container,UT12X,2,159,159,0,0,0,0,data/academic/esicup/ku_leuven_esicup_X_VAX_COR_PEX_container_UT12X.txt
